Test name,Total connections,Duration,Conn Rate,Reply Size
4KB,1000,0.205,4886.5,483.0
4KB,1000,0.210,4753.7,483.0
4KB,1000,0.208,4798.9,483.0
4KB,1000,0.208,4815.2,483.0
4KB,1000,0.209,4791.2,483.0
4KB,1000,0.216,4627.3,483.0
4KB,1000,0.209,4775.6,483.0
4KB,1000,0.210,4753.8,483.0
4KB,1000,0.227,4402.6,483.0
4KB,1000,0.209,4778.8,483.0
4KB,1000,0.218,4593.4,483.0
4KB,1000,0.222,4505.0,483.0
4KB,1000,0.204,4905.3,483.0
4KB,1000,0.208,4815.6,483.0
4KB,1000,0.211,4746.3,483.0
4KB,1000,0.207,4841.0,483.0
4KB,1000,0.210,4770.5,483.0
4KB,1000,0.212,4716.1,483.0
4KB,1000,0.210,4762.1,483.0
4KB,1000,0.210,4754.6,483.0
4KB,1000,0.220,4538.7,483.0
4KB,1000,0.227,4406.4,483.0
4KB,1000,0.216,4632.2,483.0
4KB,1000,0.212,4722.8,483.0
4KB,1000,0.214,4668.0,483.0
4KB,1000,0.213,4694.2,483.0
4KB,1000,0.212,4716.4,483.0
4KB,1000,0.208,4805.6,483.0
4KB,1000,0.212,4719.5,483.0
4KB,1000,0.208,4801.9,483.0
4KB,1000,0.216,4633.9,483.0
4KB,1000,0.221,4525.5,483.0
4KB,1000,0.209,4790.7,483.0
4KB,1000,0.224,4468.4,483.0
4KB,1000,0.212,4725.9,483.0
4KB,1000,0.209,4785.0,483.0
4KB,1000,0.216,4635.7,483.0
4KB,1000,0.224,4472.7,483.0
4KB,1000,0.220,4552.9,483.0
4KB,1000,0.260,3839.1,483.0
4KB,1000,0.219,4562.7,483.0
4KB,1000,0.249,4017.0,483.0
4KB,1000,0.243,4107.0,483.0
4KB,1000,0.218,4587.3,483.0
4KB,1000,0.239,4182.4,483.0
4KB,1000,0.211,4747.3,483.0
4KB,1000,0.261,3827.1,483.0
4KB,1000,0.215,4660.1,483.0
4KB,1000,0.257,3890.6,483.0
4KB,1000,0.221,4528.4,483.0
4KB,1000,0.220,4548.4,483.0
4KB,1000,0.219,4573.4,483.0
4KB,1000,0.253,3952.3,483.0
4KB,1000,0.234,4269.7,483.0
4KB,1000,0.225,4439.3,483.0
4KB,1000,0.220,4554.7,483.0
4KB,1000,0.205,4881.0,483.0
4KB,1000,0.239,4180.3,483.0
4KB,1000,0.211,4735.0,483.0
4KB,1000,0.223,4483.4,483.0
4KB,1000,0.217,4601.6,483.0
4KB,1000,0.218,4588.1,483.0
4KB,1000,0.213,4692.9,483.0
4KB,1000,0.231,4327.6,483.0
4KB,1000,0.213,4692.4,483.0
4KB,1000,0.209,4777.4,483.0
4KB,1000,0.218,4584.9,483.0
4KB,1000,0.214,4663.8,483.0
4KB,1000,0.218,4596.5,483.0
4KB,1000,0.216,4627.3,483.0
4KB,1000,0.210,4772.4,483.0
4KB,1000,0.212,4717.5,483.0
4KB,1000,0.213,4704.3,483.0
4KB,1000,0.223,4487.5,483.0
4KB,1000,0.250,3997.0,483.0
4KB,1000,0.217,4612.0,483.0
4KB,1000,0.246,4062.6,483.0
4KB,1000,0.214,4679.1,483.0
4KB,1000,0.234,4277.7,483.0
4KB,1000,0.223,4487.5,483.0
4KB,1000,0.248,4025.5,483.0
4KB,1000,0.225,4438.3,483.0
4KB,1000,0.244,4101.8,483.0
4KB,1000,0.214,4678.3,483.0
4KB,1000,0.254,3939.9,483.0
4KB,1000,0.211,4743.9,483.0
4KB,1000,0.221,4535.0,483.0
