Test name,Total connections,Duration,Conn Rate,Reply Size
Large,1000,0.309,3236.3,483.0
Large,1000,0.334,2996.6,483.0
Large,1000,0.330,3028.1,483.0
Large,1000,0.321,3111.3,483.0
Large,1000,0.319,3137.6,483.0
Large,1000,0.329,3041.5,483.0
Large,1000,0.318,3143.5,483.0
Large,1000,0.318,3146.9,483.0
Large,1000,0.351,2851.8,483.0
Large,1000,0.340,2938.9,483.0
Large,1000,0.357,2804.7,483.0
Large,1000,0.354,2825.3,483.0
Large,1000,0.318,3141.1,483.0
Large,1000,0.308,3243.7,483.0
Large,1000,0.304,3294.3,483.0
Large,1000,0.294,3397.0,483.0
Large,1000,0.317,3158.2,483.0
Large,1000,0.324,3084.8,483.0
Large,1000,0.316,3164.9,483.0
Large,1000,0.320,3120.2,483.0
Large,1000,0.316,3167.5,483.0
Large,1000,0.314,3184.0,483.0
Large,1000,0.309,3238.0,483.0
Large,1000,0.324,3086.2,483.0
Large,1000,0.332,3010.5,483.0
Large,1000,0.304,3289.0,483.0
Large,1000,0.279,3585.5,483.0
Large,1000,0.292,3426.7,483.0
Large,1000,0.295,3386.7,483.0
Large,1000,0.294,3399.3,483.0
Large,1000,0.297,3369.3,483.0
Large,1000,0.282,3547.1,483.0
Large,1000,0.291,3440.2,483.0
Large,1000,0.293,3418.1,483.0
Large,1000,0.289,3461.3,483.0
Large,1000,0.284,3515.2,483.0
Large,1000,0.317,3151.4,483.0
Large,1000,0.298,3358.3,483.0
Large,1000,0.300,3331.0,483.0
Large,1000,0.267,3751.5,483.0
Large,1000,0.267,3751.1,483.0
Large,1000,0.256,3911.9,483.0
Large,1000,0.274,3647.3,483.0
Large,1000,0.266,3756.0,483.0
Large,1000,0.290,3448.4,483.0
Large,1000,0.271,3688.4,483.0
Large,1000,0.266,3755.5,483.0
Large,1000,0.268,3729.5,483.0
Large,1000,0.283,3532.6,483.0
Large,1000,0.280,3575.7,483.0
Large,1000,0.288,3466.6,483.0
Large,1000,0.272,3680.9,483.0
