Test name,Total connections,Duration,Conn Rate,Reply Size
4KB,1000,0.184,5433.0,483.0
4KB,1000,0.111,8973.2,483.0
4KB,1000,0.120,8344.4,483.0
4KB,1000,0.113,8846.8,483.0
4KB,1000,0.116,8593.2,483.0
4KB,1000,0.116,8654.0,483.0
4KB,1000,0.129,7742.2,483.0
4KB,1000,0.115,8688.9,483.0
4KB,1000,0.117,8565.1,483.0
4KB,1000,0.115,8679.7,483.0
4KB,1000,0.116,8647.8,483.0
4KB,1000,0.114,8752.0,483.0
4KB,1000,0.119,8410.9,483.0
4KB,1000,0.126,7947.3,483.0
4KB,1000,0.120,8365.1,483.0
4KB,1000,0.119,8388.4,483.0
4KB,1000,0.124,8038.2,483.0
4KB,1000,0.118,8485.4,483.0
4KB,1000,0.120,8353.7,483.0
4KB,1000,0.120,8318.8,483.0
4KB,1000,0.112,8947.1,483.0
4KB,1000,0.119,8419.6,483.0
4KB,1000,0.114,8764.0,483.0
4KB,1000,0.089,11257.5,483.0
4KB,1000,0.097,10324.3,483.0
4KB,1000,0.092,10896.3,483.0
4KB,1000,0.096,10419.8,483.0
4KB,1000,0.097,10360.8,483.0
4KB,1000,0.114,8794.9,483.0
4KB,1000,0.112,8949.4,483.0
4KB,1000,0.125,7978.5,483.0
4KB,1000,0.118,8464.0,483.0
4KB,1000,0.114,8798.5,483.0
4KB,1000,0.122,8220.0,483.0
4KB,1000,0.117,8576.5,483.0
4KB,1000,0.110,9101.5,483.0
4KB,1000,0.108,9271.8,483.0
4KB,1000,0.107,9334.6,483.0
4KB,1000,0.108,9271.0,483.0
4KB,1000,0.108,9239.4,483.0
4KB,1000,0.109,9194.1,483.0
4KB,1000,0.110,9131.4,483.0
4KB,1000,0.107,9332.5,483.0
4KB,1000,0.109,9175.0,483.0
4KB,1000,0.108,9234.4,483.0
4KB,1000,0.108,9268.8,483.0
4KB,1000,0.106,9438.6,483.0
4KB,1000,0.112,8929.7,483.0
4KB,1000,0.109,9161.0,483.0
4KB,1000,0.108,9234.2,483.0
4KB,1000,0.108,9279.3,483.0
4KB,1000,0.107,9329.2,483.0
4KB,1000,0.108,9260.5,483.0
4KB,1000,0.110,9111.3,483.0
4KB,1000,0.108,9289.5,483.0
4KB,1000,0.107,9373.7,483.0
4KB,1000,0.108,9220.2,483.0
4KB,1000,0.108,9247.8,483.0
4KB,1000,0.117,8513.5,483.0
4KB,1000,0.111,9033.0,483.0
4KB,1000,0.107,9343.2,483.0
4KB,1000,0.109,9197.2,483.0
4KB,1000,0.107,9363.6,483.0
4KB,1000,0.109,9207.8,483.0
4KB,1000,0.110,9057.6,483.0
4KB,1000,0.107,9369.1,483.0
4KB,1000,0.107,9382.5,483.0
4KB,1000,0.113,8878.5,483.0
4KB,1000,0.108,9298.4,483.0
4KB,1000,0.108,9220.8,483.0
4KB,1000,0.095,10496.9,483.0
4KB,1000,0.081,12359.4,483.0
4KB,1000,0.091,11034.0,483.0
4KB,1000,0.084,11971.6,483.0
4KB,1000,0.083,12005.7,483.0
4KB,1000,0.087,11495.7,483.0
4KB,1000,0.088,11347.4,483.0
4KB,1000,0.090,11129.5,483.0
4KB,1000,0.083,12091.3,483.0
4KB,1000,0.087,11546.7,483.0
4KB,1000,0.109,9167.9,483.0
4KB,1000,0.083,12049.7,483.0
4KB,1000,0.079,12593.8,483.0
4KB,1000,0.084,11918.4,483.0
4KB,1000,0.081,12272.9,483.0
4KB,1000,0.083,11986.8,483.0
4KB,1000,0.083,12034.0,483.0
4KB,1000,0.086,11686.2,483.0
4KB,1000,0.083,12074.0,483.0
4KB,1000,0.083,12042.8,483.0
4KB,1000,0.086,11676.6,483.0
4KB,1000,0.085,11724.3,483.0
4KB,1000,0.084,11886.2,483.0
4KB,1000,0.084,11868.2,483.0
4KB,1000,0.090,11104.4,483.0
4KB,1000,0.104,9581.5,483.0
4KB,1000,0.088,11345.3,483.0
4KB,1000,0.084,11854.4,483.0
4KB,1000,0.093,10740.2,483.0
4KB,1000,0.090,11118.6,483.0
4KB,1000,0.103,9739.7,483.0
4KB,1000,0.086,11602.7,483.0
4KB,1000,0.092,10828.0,483.0
4KB,1000,0.087,11478.0,483.0
4KB,1000,0.085,11815.6,483.0
4KB,1000,0.095,10481.2,483.0
4KB,1000,0.110,9093.6,483.0
4KB,1000,0.094,10586.0,483.0
4KB,1000,0.098,10231.5,483.0
4KB,1000,0.100,9999.0,483.0
4KB,1000,0.096,10399.3,483.0
4KB,1000,0.096,10440.2,483.0
4KB,1000,0.098,10222.7,483.0
4KB,1000,0.093,10794.2,483.0
4KB,1000,0.096,10458.6,483.0
4KB,1000,0.109,9183.1,483.0
4KB,1000,0.097,10313.8,483.0
4KB,1000,0.096,10453.1,483.0
4KB,1000,0.093,10763.0,483.0
4KB,1000,0.095,10486.5,483.0
4KB,1000,0.094,10671.7,483.0
4KB,1000,0.095,10573.9,483.0
4KB,1000,0.092,10898.6,483.0
4KB,1000,0.101,9868.4,483.0
4KB,1000,0.107,9377.7,483.0
4KB,1000,0.097,10266.4,483.0
4KB,1000,0.104,9641.5,483.0
4KB,1000,0.095,10533.6,483.0
4KB,1000,0.101,9939.4,483.0
4KB,1000,0.110,9082.2,483.0
4KB,1000,0.098,10154.4,483.0
4KB,1000,0.110,9059.1,483.0
4KB,1000,0.101,9859.3,483.0
4KB,1000,0.104,9646.3,483.0
4KB,1000,0.102,9822.0,483.0
4KB,1000,0.094,10607.6,483.0
4KB,1000,0.103,9710.3,483.0
4KB,1000,0.100,10021.3,483.0
4KB,1000,0.106,9439.0,483.0
4KB,1000,0.108,9275.5,483.0
4KB,1000,0.102,9812.2,483.0
4KB,1000,0.098,10214.4,483.0
4KB,1000,0.099,10136.1,483.0
4KB,1000,0.094,10655.5,483.0
4KB,1000,0.096,10419.8,483.0
4KB,1000,0.101,9881.7,483.0
4KB,1000,0.095,10495.6,483.0
4KB,1000,0.098,10219.7,483.0
4KB,1000,0.094,10597.9,483.0
4KB,1000,0.100,10037.2,483.0
4KB,1000,0.099,10145.0,483.0
4KB,1000,0.098,10251.5,483.0
4KB,1000,0.097,10309.8,483.0
4KB,1000,0.102,9766.1,483.0
4KB,1000,0.099,10129.6,483.0
4KB,1000,0.100,9971.0,483.0
4KB,1000,0.100,9972.5,483.0
4KB,1000,0.107,9310.9,483.0
4KB,1000,0.098,10167.6,483.0
4KB,1000,0.096,10400.0,483.0
4KB,1000,0.098,10224.1,483.0
4KB,1000,0.096,10378.3,483.0
4KB,1000,0.095,10526.7,483.0
4KB,1000,0.095,10473.5,483.0
4KB,1000,0.101,9919.8,483.0
4KB,1000,0.098,10193.3,483.0
4KB,1000,0.096,10390.7,483.0
4KB,1000,0.106,9414.1,483.0
4KB,1000,0.098,10168.0,483.0
4KB,1000,0.104,9636.7,483.0
4KB,1000,0.103,9738.3,483.0
4KB,1000,0.098,10238.9,483.0
4KB,1000,0.096,10410.5,483.0
4KB,1000,0.096,10441.9,483.0
4KB,1000,0.105,9565.1,483.0
4KB,1000,0.099,10096.8,483.0
4KB,1000,0.101,9923.6,483.0
4KB,1000,0.102,9796.5,483.0
4KB,1000,0.105,9517.3,483.0
4KB,1000,0.106,9393.7,483.0
4KB,1000,0.098,10156.7,483.0
4KB,1000,0.099,10133.5,483.0
4KB,1000,0.096,10396.8,483.0
4KB,1000,0.100,9994.7,483.0
4KB,1000,0.098,10160.8,483.0
4KB,1000,0.096,10378.8,483.0
4KB,1000,0.102,9792.1,483.0
4KB,1000,0.099,10087.4,483.0
4KB,1000,0.099,10095.6,483.0
4KB,1000,0.098,10221.6,483.0
4KB,1000,0.099,10086.4,483.0
4KB,1000,0.102,9805.9,483.0
4KB,1000,0.097,10313.5,483.0
4KB,1000,0.094,10661.4,483.0
4KB,1000,0.098,10201.9,483.0
4KB,1000,0.097,10306.7,483.0
4KB,1000,0.111,9003.0,483.0
4KB,1000,0.115,8705.7,483.0
4KB,1000,0.117,8523.7,483.0
4KB,1000,0.111,9048.5,483.0
4KB,1000,0.111,8977.9,483.0
4KB,1000,0.114,8748.5,483.0
4KB,1000,0.112,8933.4,483.0
4KB,1000,0.109,9174.9,483.0
4KB,1000,0.116,8625.7,483.0
4KB,1000,0.107,9316.9,483.0
4KB,1000,0.111,9035.6,483.0
4KB,1000,0.115,8715.4,483.0
4KB,1000,0.130,7677.4,483.0
4KB,1000,0.101,9874.1,483.0
4KB,1000,0.100,9955.7,483.0
4KB,1000,0.097,10318.5,483.0
4KB,1000,0.103,9738.5,483.0
4KB,1000,0.105,9528.7,483.0
4KB,1000,0.102,9780.3,483.0
4KB,1000,0.099,10082.0,483.0
4KB,1000,0.109,9210.6,483.0
4KB,1000,0.108,9238.7,483.0
4KB,1000,0.102,9820.8,483.0
4KB,1000,0.101,9898.6,483.0
4KB,1000,0.100,9961.8,483.0
4KB,1000,0.113,8879.1,483.0
4KB,1000,0.115,8718.9,483.0
4KB,1000,0.108,9219.8,483.0
4KB,1000,0.106,9427.2,483.0
4KB,1000,0.110,9125.3,483.0
4KB,1000,0.103,9662.8,483.0
4KB,1000,0.104,9650.0,483.0
4KB,1000,0.107,9302.8,483.0
4KB,1000,0.105,9484.9,483.0
4KB,1000,0.103,9690.8,483.0
4KB,1000,0.099,10119.6,483.0
4KB,1000,0.109,9212.8,483.0
4KB,1000,0.104,9656.0,483.0
4KB,1000,0.106,9404.5,483.0
4KB,1000,0.102,9833.3,483.0
4KB,1000,0.105,9540.3,483.0
4KB,1000,0.157,6363.1,483.0
4KB,1000,0.107,9384.8,483.0
4KB,1000,0.101,9863.7,483.0
4KB,1000,0.106,9466.9,483.0
4KB,1000,0.104,9650.8,483.0
4KB,1000,0.101,9923.0,483.0
4KB,1000,0.102,9782.5,483.0
4KB,1000,0.098,10207.3,483.0
4KB,1000,0.111,8975.2,483.0
4KB,1000,0.102,9840.4,483.0
4KB,1000,0.104,9636.1,483.0
4KB,1000,0.102,9790.9,483.0
4KB,1000,0.110,9112.0,483.0
4KB,1000,0.121,8296.0,483.0
4KB,1000,0.107,9380.6,483.0
4KB,1000,0.105,9564.2,483.0
4KB,1000,0.105,9519.5,483.0
4KB,1000,0.105,9537.1,483.0
4KB,1000,0.111,9032.9,483.0
4KB,1000,0.106,9445.6,483.0
4KB,1000,0.104,9595.3,483.0
4KB,1000,0.109,9162.6,483.0
4KB,1000,0.106,9419.2,483.0
4KB,1000,0.110,9113.5,483.0
4KB,1000,0.100,9978.1,483.0
4KB,1000,0.104,9656.4,483.0
4KB,1000,0.104,9578.3,483.0
4KB,1000,0.108,9234.8,483.0
